protein_ids	12500amol_r1	12500amol_r2	12500amol_r3	125amol_r1	125amol_r2	125amol_r3	25000amol_r1	25000amol_r2	25000amol_r3	2500amol_r1	2500amol_r2	2500amol_r3	250amol_r1	250amol_r2	250amol_r3	50000amol_r1	50000amol_r2	50000amol_r3	5000amol_r1	5000amol_r2	5000amol_r3	500amol_r1	500amol_r2	500amol_r3	50amol_r1	50amol_r2	50amol_r3
sp|P11633|NHP6B_YEAST	11741000	12029000	11166000	13027000	13464000	11185000	14348000	13582000	12111000	14234000	14368000	14373000	12652000	13981000	12900000	13407000	14117000	11814000	15474000	14192000	14054000	14880000	13229000	11532000	9810300	12261000	11201000
sp|P11745|RNA1_YEAST	34919000	39609000	40435000	34153000	38928000	35516000	34440000	33553000	35473000	39684000	38223000	42534000	37182000	36094000	34219000	34847000	31911000	32648000	39763000	39612000	41124000	41228000	39819000	39317000	29444000	34518000	35740000
sp|P11986|INO1_YEAST	4207700	0	4236900	3800400	4589700	3193200	6915500	0	0	3636600	5942600	4690300	3363200	5261800	4380500	0	0	0	4244400	4519700	5929200	4527000	5387400	4989400	3541400	3012600	4814600
sp|P12385|ERF1_YEAST	10379000	8970400	8322000	8584700	9896800	8998200	9644800	9016400	11043000	11746000	10374000	10892000	9537100	7928700	7683100	12347000	9414200	10030000	10828000	13206000	10004000	9468100	9670000	10026000	6254300	8769500	8704200
sp|P12612|TCPA_YEAST	44579000	41627000	38435000	35954000	37262000	34519000	40615000	46563000	46318000	45765000	44628000	39877000	40434000	29684000	39004000	37140000	36837000	37907000	44960000	37730000	41306000	36049000	44870000	30770000	29452000	33739000	29806000
sp|P12688|YPK1_YEAST;sp|P18961|YPK2_YEAST	6718900	6307300	7725300	5273600	5701200	6057300	6434200	6587500	6191600	5835300	7644100	6772100	6680700	5929500	6215200	5435300	6575900	4577600	7561100	6074900	6243800	5828000	6565600	6969200	5702000	6409200	5271500
sp|P12695|ODP2_YEAST	54998000	52030000	50344000	57353000	46794000	56632000	48721000	55486000	48169000	49530000	57747000	56001000	54597000	50921000	56113000	48567000	53579000	49592000	49834000	51664000	48067000	56731000	55281000	53312000	42467000	49929000	50025000
sp|P12709|G6PI_YEAST	2024800000	2106100000	2127200000	2082500000	2136500000	2092900000	1960400000	1973200000	2043500000	2072900000	2141600000	2147400000	2009800000	2027200000	2089800000	1944400000	1981200000	1929700000	2066200000	2058900000	2141100000	2119000000	2106900000	2102900000	2046100000	2065800000	2184800000
sp|P12753|RAD50_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P12887|UNG_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281100	0	0	0
sp|P12904|AAKG_YEAST	4172900	4129400	3973000	3710700	4327100	3469300	3912900	3423300	3813700	4656700	3937700	4029800	4679100	4515400	4818100	3776900	3255900	3611300	4796700	3782600	3605100	3947600	3100900	4219100	6606300	7262300	6439300
sp|P12945|NAT1_YEAST	3251300	2935700	0	5163700	5516300	0	0	3985100	0	5144200	5127600	4098900	4528900	0	0	4838000	0	4117700	4193300	0	0	4901800	3356500	8839200	4115400	4632500	4569500
sp|P12962|CAF20_YEAST	9224200	9303800	9030100	8574800	8312300	9607000	8897600	9546800	6966600	10524000	10558000	8835600	10852000	9495800	8120400	7302700	6768000	7404400	10663000	8801000	11248000	7404500	9238600	9225100	5812500	4961300	6914600
sp|P13188|SYQ_YEAST	31584000	35956000	38648000	39959000	43468000	34673000	34112000	36538000	36684000	45469000	38538000	38447000	36050000	38945000	39135000	34732000	41494000	31934000	37788000	36680000	37934000	37410000	32743000	39878000	43437000	38727000	41683000
sp|P13298|PYRE_YEAST	70249000	75023000	83965000	68769000	67670000	68360000	67860000	70598000	65729000	74149000	77519000	75831000	69706000	72398000	69416000	67730000	68807000	80997000	73142000	77608000	69609000	63881000	57388000	72397000	68527000	78805000	72099000
sp|P13517|CAPZB_YEAST	12427000	10652000	9318200	13287000	11986000	13578000	9741700	8017800	10433000	11552000	12266000	11390000	9909400	9876000	11781000	6955900	9311900	9003400	10741000	9824900	8858200	11253000	11260000	12829000	10179000	9840200	8802800
sp|P13663|DHAS_YEAST	237850000	239090000	257120000	240650000	246670000	259320000	237880000	269360000	260640000	253630000	251160000	252150000	244240000	242730000	254320000	250900000	250580000	234910000	272220000	268160000	252990000	262910000	253170000	240240000	264230000	259550000	244950000
sp|P13712|MSI1_YEAST	9301200	8087600	8141000	8932800	13707000	8499100	7214000	8603000	7540400	9461700	8340600	9527200	8362400	7968300	8430700	7919400	7831100	8093400	10145000	7041700	7500800	9395000	7957600	10339000	5554100	9523000	9162500
sp|P14020|DPM1_YEAST	45195000	39847000	37284000	34069000	41385000	43507000	35264000	44618000	38580000	45541000	42363000	43066000	44851000	40902000	36963000	35001000	31627000	32068000	37452000	43869000	43772000	45513000	41948000	41036000	36866000	35629000	37692000
sp|P14065|GCY1_YEAST	65740000	57310000	62329000	41847000	27960000	57600000	54595000	57335000	52118000	56404000	61177000	62558000	73096000	67515000	42866000	55626000	30461000	57600000	55125000	55941000	60238000	69032000	57100000	63488000	48935000	51763000	51645000
sp|P14120|RL30_YEAST	64822000	69792000	82274000	63265000	60129000	58808000	74562000	83489000	82887000	61273000	65927000	58094000	66767000	67567000	61811000	88004000	76847000	76848000	59278000	54892000	63106000	57743000	53619000	55551000	62188000	69825000	76384000
sp|P14126|RL3_YEAST	210330000	208620000	221150000	211380000	208370000	217040000	202490000	220870000	193700000	206490000	209570000	210350000	211700000	217960000	207400000	215600000	204590000	224730000	212100000	217100000	226830000	204550000	203560000	212340000	289360000	275350000	247710000
sp|P14306|CPYI_YEAST	30788000	36776000	33020000	36949000	39761000	38997000	34549000	27017000	37897000	33718000	40420000	35851000	32226000	40443000	35354000	32243000	28022000	27878000	40611000	38270000	37692000	42401000	37407000	35715000	42318000	42095000	40120000
sp|P14540|ALF_YEAST	3158500000	3232700000	3262800000	3075200000	3078400000	2999100000	3034800000	2936700000	2930800000	3189400000	3102300000	3259400000	3005700000	3044500000	3154000000	2999000000	2999300000	3086500000	3137600000	3177500000	3217400000	2980200000	3078900000	3053900000	3616000000	2980400000	2997200000
sp|P14742|GFA1_YEAST	87363000	94638000	96748000	99570000	90516000	97999000	87078000	88928000	87985000	103620000	92678000	92348000	95756000	104380000	89441000	84680000	80815000	83097000	101790000	101210000	105630000	95416000	99097000	100130000	93279000	93868000	98998000
sp|P14743|NMT_YEAST	2239600	2024100	1914400	1322900	1754900	1711800	1670200	2232500	1786700	2247200	1532300	2204900	2102200	1648700	1845000	1613900	1950500	2104700	1940500	1878500	2167300	2075900	2007500	1949400	1289300	1362100	1548300
sp|P14747|PP2B2_YEAST	6789400	6200200	7082000	7679900	7760200	7801400	7019600	7697700	7780200	9297600	7941200	7472400	7774000	6546200	7754900	6916300	7547900	7105500	7205200	7186200	7901600	7826200	9702700	8783700	6170200	6946100	5424900
sp|P14832|CYPH_YEAST	424040000	413030000	408350000	441620000	429050000	437590000	409090000	439070000	446680000	446340000	435080000	429480000	426410000	425250000	415320000	430380000	427640000	434710000	431710000	439930000	442650000	435540000	444800000	431230000	405880000	453600000	446840000
sp|P14843|AROF_YEAST	93586000	89428000	82269000	73308000	73949000	77116000	92108000	72495000	85344000	87410000	87302000	87900000	85539000	80927000	79786000	74612000	65044000	82786000	84318000	83097000	87812000	78446000	76294000	72134000	80738000	88249000	71198000
sp|P14904|AMPL_YEAST	74020000	78853000	73486000	64588000	67007000	69369000	71543000	75219000	74290000	88821000	79652000	72967000	66286000	65787000	71353000	73398000	69943000	70026000	79851000	84464000	82839000	69789000	80782000	78709000	61450000	60454000	73427000
sp|P14907|NSP1_YEAST	3556100	3588200	3260700	3019800	3092400	2725900	0	3133200	2730500	3846700	3619800	5555000	3711400	2905800	3337200	3163800	4017200	2841800	3565100	3721800	3461600	3026400	3545300	3125800	0	2335700	2570100
sp|P14922|CYC8_YEAST	0	0	4878300	5391000	5464300	6094600	0	0	0	0	5950600	0	6633300	6027400	6409500	4457000	4812000	5410600	0	0	0	5526500	5350200	0	5703400	4865900	5658000
sp|P15019|TAL1_YEAST	369920000	376110000	375640000	330110000	337020000	346660000	370530000	376240000	390650000	380480000	359130000	373200000	349300000	352900000	350450000	365250000	368200000	369610000	356860000	367460000	388920000	326180000	354970000	340950000	296250000	297490000	322660000
sp|P15108|HSC82_YEAST	3160900000	3192400000	3293900000	3437100000	3438500000	3390100000	3130300000	3009200000	2968400000	3160400000	3101200000	3123300000	3207000000	3233900000	3336400000	2961900000	2958300000	2945100000	3131000000	3169800000	3117100000	3345100000	3342800000	3342500000	3269200000	3336500000	3432000000
sp|P15180|SYKC_YEAST	151440000	152310000	158940000	164440000	163650000	164160000	150440000	146050000	164700000	164830000	166320000	157940000	166150000	174000000	167500000	145330000	150610000	141640000	162420000	157960000	165010000	172320000	170420000	158660000	157530000	151590000	155290000
sp|P15274|AMPD_YEAST	4925600	5664000	5495200	6451700	9586300	7472000	4975900	6805200	2259100	5957600	4308600	4980800	5303500	7010500	4297700	5134700	3313600	3808600	3691400	5513200	5809000	6803800	4636900	5828900	4893200	7890600	5293100
sp|P15303|SEC23_YEAST	30298000	21809000	20526000	21218000	24683000	20375000	21359000	20049000	24326000	25282000	18743000	17570000	33756000	21072000	21026000	20047000	21073000	22399000	21058000	21533000	19935000	18747000	24298000	21469000	19161000	20780000	20942000
sp|P15454|KGUA_YEAST	152710000	165560000	158950000	159420000	163700000	160480000	155700000	159700000	155820000	174050000	158600000	168100000	144630000	162800000	157880000	160890000	151210000	149320000	158680000	156270000	171510000	164000000	157440000	162620000	126820000	140920000	150770000
sp|P15496|IDI1_YEAST	84612000	90962000	87525000	98249000	98446000	96077000	79953000	73493000	77554000	86979000	97056000	81722000	95009000	90416000	93930000	64250000	65458000	64448000	86929000	85111000	86867000	91960000	99274000	97269000	93731000	103110000	100210000
sp|P15624|SYFB_YEAST	148830000	138300000	154490000	162260000	149580000	154260000	155800000	132860000	139270000	156370000	158830000	150070000	158260000	154670000	151750000	138540000	121990000	129270000	154150000	151030000	163020000	149000000	153060000	151540000	138180000	149680000	144510000
sp|P15625|SYFA_YEAST	120780000	120770000	130970000	128600000	132960000	124000000	121030000	121630000	127270000	130440000	124260000	120910000	130950000	128280000	124120000	125690000	116020000	114220000	126490000	121350000	142760000	127190000	124980000	130680000	114170000	121400000	121530000
sp|P15646|FBRL_YEAST	27858000	24689000	25585000	21037000	20916000	24235000	26046000	24826000	22431000	27261000	26397000	26436000	26868000	25024000	29852000	24020000	28583000	23713000	26639000	28993000	23328000	24085000	24896000	28335000	25586000	28136000	23180000
sp|P15700|KCY_YEAST	0	0	7444900	9625400	8029900	8282500	0	0	0	8821400	7969300	0	9023500	4800900	8934000	6914400	8040400	8297900	0	0	0	8576000	10269000	8574600	8302000	7602900	9101500
sp|P15703|BGL2_YEAST	169310000	179050000	154080000	148960000	197090000	185400000	151770000	152720000	141060000	168510000	174680000	171900000	139530000	170380000	161330000	156740000	157130000	148680000	160280000	178320000	170340000	181200000	188120000	182080000	221350000	148150000	152270000
sp|P15705|STI1_YEAST	317190000	323500000	338770000	346660000	360270000	353600000	313390000	313060000	331520000	329520000	326860000	332530000	351900000	357130000	335740000	321740000	337130000	329680000	331760000	328120000	345470000	356240000	350450000	351650000	349380000	362540000	366200000
sp|P15731|UBC4_YEAST;sp|P15732|UBC5_YEAST	64175000	73875000	73773000	71399000	62045000	57607000	78688000	53472000	64853000	72456000	62728000	64921000	58233000	60826000	68949000	64323000	67350000	67451000	64850000	66263000	79998000	57949000	63227000	63782000	89640000	83051000	74420000
sp|P15873|PCNA_YEAST	105320000	102390000	95868000	107150000	97921000	97730000	97267000	96461000	94565000	105570000	106050000	102320000	106900000	92699000	99138000	91599000	91682000	80349000	98836000	104670000	102310000	100320000	95980000	99433000	87564000	92893000	100870000
sp|P15891|ABP1_YEAST	238400000	235460000	227160000	260750000	253300000	248090000	218520000	246330000	245070000	277190000	256620000	250750000	260890000	253650000	257450000	218510000	214110000	214670000	253390000	253430000	251700000	264020000	264710000	259070000	235900000	238730000	253930000
sp|P15938|PRP16_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|P15992|HSP26_YEAST	245080000	244990000	238600000	259280000	264970000	266360000	240770000	231780000	236330000	270750000	259200000	252790000	253860000	239480000	247240000	230310000	210030000	224270000	255870000	257000000	253660000	262180000	245850000	251750000	268790000	250720000	263820000
sp|P16120|THRC_YEAST	397700000	407940000	388630000	396410000	397620000	404460000	379300000	444390000	398670000	443590000	412120000	405590000	436170000	419460000	407210000	360840000	346960000	352700000	392840000	410390000	408810000	381530000	370410000	390350000	455170000	432890000	428510000
sp|P16140|VATB_YEAST	364940000	384380000	378990000	403700000	391540000	392080000	378700000	369210000	373040000	389810000	408150000	386290000	386020000	407000000	387850000	366630000	348400000	334450000	389930000	398680000	392640000	398000000	406270000	386430000	356350000	370060000	360610000
sp|P16387|ODPA_YEAST	31385000	34965000	36461000	37409000	40151000	35944000	37359000	25573000	31102000	26425000	34974000	38037000	41883000	40979000	47722000	26284000	28754000	31605000	44373000	38601000	32231000	37838000	39969000	42574000	23424000	33329000	31217000
sp|P16451|ODPX_YEAST	4026900	4534400	5463500	7081900	7238000	6038400	6136000	5237300	4960200	5672100	3801800	5722400	5095700	5671600	4983500	6462900	8123800	7677000	4474800	4962800	3815200	6068000	5826900	5797000	6891100	7188300	6219100
sp|P16467|PDC5_YEAST	5261900	5360000	6762700	0	6642800	6062700	6260200	7858900	5708500	6137200	7447100	7143500	6202800	5262000	0	6392000	6341400	0	6628800	7249300	7352300	5677200	6551200	5809900	7254700	5627900	5489300
sp|P16474|BIP_YEAST	237020000	232750000	239210000	241580000	238490000	242690000	237220000	238030000	238220000	240800000	261160000	240560000	246290000	225690000	232010000	208790000	213030000	205390000	244080000	239900000	248660000	239810000	227160000	240230000	204620000	206320000	209010000
sp|P16521|EF3A_YEAST	1824400000	1858700000	1869500000	1882200000	1830700000	1855200000	1778500000	1767600000	1758800000	1834600000	1871300000	1865600000	1828700000	1821500000	1858200000	1723400000	1773300000	1767100000	1834300000	1850800000	1874400000	1734300000	1797900000	1757700000	1879700000	1847200000	1873800000
sp|P16547|OM45_YEAST	33641000	31146000	33188000	27846000	29790000	28347000	32321000	32719000	32945000	35162000	31594000	33897000	31000000	30387000	26787000	32569000	34419000	31086000	30851000	32738000	31545000	28199000	26187000	29643000	24659000	23710000	24398000
sp|P16550|APA1_YEAST	73995000	68357000	62095000	84676000	88403000	84614000	77747000	54061000	60251000	67939000	80434000	71833000	82128000	77462000	73753000	48029000	51126000	49243000	79925000	72050000	68062000	80022000	85177000	70507000	81105000	88973000	83323000
sp|P16603|NCPR_YEAST	8178100	8958100	8083600	9231300	8838700	8227800	7514100	8984600	7505300	8968000	9278600	8175100	8558500	9351700	8174400	8344400	7537500	8714000	8529100	9677700	8932200	8823200	9464800	8786500	8553700	9618400	0
sp|P16649|TUP1_YEAST	11932000	11507000	10506000	10401000	9192900	10414000	11757000	10572000	11005000	9426900	10005000	10493000	9370800	11773000	10979000	9895300	11226000	9166100	12267000	13490000	13298000	9628400	9659500	10455000	8406100	6977900	12831000
sp|P16861|PFKA1_YEAST	520500000	532740000	551640000	546180000	544380000	552290000	528780000	521220000	510620000	542540000	540480000	542310000	583510000	546740000	539920000	504660000	483560000	486020000	534730000	547840000	557620000	537010000	533910000	565390000	511000000	539460000	524530000
sp|P16862|PFKA2_YEAST	307910000	305880000	317010000	309180000	313240000	312540000	293590000	295000000	297040000	304380000	303860000	302860000	315600000	304320000	301140000	291580000	281190000	294940000	305580000	309320000	312510000	315050000	306670000	310260000	324310000	325120000	319500000
sp|P17076|RL8A_YEAST	3891500	7389300	5702000	3130200	5219700	5241000	4246200	5244800	5707200	4838100	5603700	4712100	4298000	4764100	4804400	5361600	3909100	7447500	4431700	4680100	0	3018500	4123000	3600500	8029900	5447700	4510300
sp|P17106|CBF1_YEAST	3213500	3348700	3425600	3449400	3350800	3294500	3240300	4070600	3999600	3589600	3958800	3397200	3122500	3310400	3642900	3491700	3531300	2859500	3283200	3521600	3107600	3384300	3256900	3951600	2852500	2939700	3496500
sp|P17423|KHSE_YEAST	59285000	55972000	51640000	68565000	65431000	64873000	56091000	56703000	59611000	64076000	62977000	60217000	57520000	61022000	58761000	53041000	52117000	51891000	67219000	59347000	63345000	63991000	66216000	62691000	51336000	55959000	56735000
sp|P17505|MDHM_YEAST	549580000	539650000	561730000	556760000	560120000	582480000	522590000	520300000	514030000	546550000	546650000	552230000	557250000	563470000	576330000	525610000	545060000	539630000	541150000	545970000	557220000	581620000	587390000	553650000	487180000	561350000	578370000
sp|P17536|TPM1_YEAST	108830000	115390000	119010000	125960000	123560000	115720000	101130000	104770000	106040000	99943000	113100000	109580000	109930000	123350000	109490000	125740000	134790000	137810000	97261000	102620000	112050000	102050000	112900000	110180000	149730000	120950000	140100000
sp|P17555|CAP_YEAST	54027000	51525000	57243000	55445000	58683000	66399000	49430000	47253000	50708000	61344000	56567000	55587000	60906000	60951000	60432000	41172000	48136000	40894000	59057000	59834000	58587000	59302000	56195000	56235000	56519000	52563000	56659000
sp|P17649|GABAT_YEAST	117470000	115410000	113770000	115850000	110140000	125560000	107470000	94889000	100680000	112690000	120980000	123860000	115910000	115720000	106360000	90472000	91341000	93671000	129680000	104970000	115830000	124150000	128450000	112990000	93621000	102480000	102110000
sp|P17695|GLRX2_YEAST	17085000	15714000	14183000	17389000	19589000	16933000	14286000	20464000	15786000	18643000	17206000	14711000	14862000	16410000	15775000	12756000	13661000	12452000	18856000	16686000	16472000	13983000	14851000	16839000	18830000	21314000	19382000
sp|P17709|HXKG_YEAST	174490000	172600000	183530000	221130000	197530000	187850000	169160000	159330000	158770000	174250000	176220000	168390000	187680000	183560000	184200000	153250000	146600000	153400000	176530000	179000000	164770000	185930000	188210000	173200000	209890000	216860000	203260000
sp|P17891|CLC1_YEAST	12722000	13605000	14473000	12910000	13923000	14959000	14045000	13338000	14300000	14808000	14037000	13191000	13865000	14597000	12515000	12715000	10427000	12462000	12643000	12729000	14928000	15624000	16415000	15325000	12609000	10186000	11752000
sp|P17967|PDI_YEAST	211970000	217980000	213870000	234340000	227290000	222830000	204280000	208070000	208490000	209120000	227950000	218740000	219490000	211670000	229630000	208730000	187110000	202080000	196340000	204620000	211080000	197560000	193430000	178890000	271420000	248170000	242470000
sp|P18544|ARGD_YEAST	8182500	8801600	6409500	7813800	9333500	8887800	8654900	8786800	7223100	7655000	6817000	8853800	8353600	9500200	9136000	7105300	6025500	10444000	8912600	10572000	6985400	6241500	7835000	7743600	7106200	9766000	6562400
sp|P18562|UPP_YEAST	53495000	58338000	50188000	61670000	57290000	55605000	58908000	60019000	48455000	61720000	59926000	54344000	58614000	55900000	62624000	52640000	56065000	51622000	56017000	52537000	58130000	59006000	70560000	61701000	61014000	67098000	69458000
sp|P18759|SEC18_YEAST	0	0	0	0	0	0	2102300	1913000	2752400	2267100	0	0	2380300	0	2541000	0	0	0	2108400	0	0	0	2162500	0	4052700	0	0
sp|P19073|CDC42_YEAST	3479700	3623600	3164300	3188500	2974100	3944200	3359400	4628500	3421100	3627300	3886400	3435900	3552300	3117500	2278700	3522100	3089100	2907800	3871100	3570300	4211500	4254200	3200100	3405500	2552100	3290400	3579500
sp|P19097|FAS2_YEAST	904510000	885710000	902720000	950490000	948470000	933790000	886950000	909360000	858550000	961630000	948510000	926540000	923980000	919660000	899840000	849810000	805750000	816980000	934140000	929760000	942230000	906380000	958720000	944100000	951410000	904000000	929390000
sp|P19146|ARF2_YEAST	11406000	12790000	15409000	12788000	12827000	8883400	12190000	12163000	11561000	12882000	12797000	13037000	13810000	17996000	15339000	12033000	9883200	14169000	11149000	13707000	13502000	15085000	12987000	13229000	14152000	12188000	13670000
sp|P19262|ODO2_YEAST	43783000	44249000	45851000	45768000	49952000	46387000	39324000	42086000	45100000	49569000	46288000	44901000	46101000	43112000	44320000	36236000	46447000	38884000	47487000	47961000	49349000	44862000	51408000	47534000	37550000	39759000	45199000
sp|P19358|METK2_YEAST	190590000	195490000	194690000	188960000	201040000	187260000	181040000	171920000	189650000	202930000	198450000	194950000	187140000	184710000	205640000	209100000	173990000	177940000	183130000	195550000	207960000	195660000	196950000	194860000	170220000	183810000	173930000
sp|P19414|ACON_YEAST	790020000	781680000	779510000	698090000	749600000	747860000	757380000	738600000	767170000	772010000	772550000	827760000	727580000	736260000	762530000	728060000	734910000	761470000	812460000	814540000	812940000	737810000	735330000	756260000	719610000	667710000	689670000
sp|P19454|CSK22_YEAST	13944000	13769000	13169000	9052300	8613100	9062400	10624000	11691000	12763000	9786700	12664000	10204000	8888200	8730400	9468600	10694000	11465000	9482900	10590000	12178000	12249000	9703200	10522000	7956300	7708200	6921500	9441600
sp|P19882|HSP60_YEAST	1042900000	1023700000	1056700000	1099100000	1099800000	1089700000	997220000	1034000000	1003200000	1084200000	1086300000	1097900000	1085000000	1067800000	1074500000	950200000	971790000	954240000	1095600000	1090700000	1091300000	1093900000	1080500000	1078400000	1025200000	1052100000	1093300000
sp|P20049|TYR1_YEAST	4261700	5293500	5018600	4589600	0	0	0	4183700	8045700	4787400	5204500	4581400	0	5305000	0	0	4024100	0	4306200	8450200	5706800	4088200	0	4718700	3216400	0	1805200
sp|P20051|PYRC_YEAST	43285000	41223000	36265000	35113000	34292000	34872000	39750000	41909000	36681000	35495000	38977000	40499000	26484000	29981000	33624000	38830000	40675000	40167000	37751000	41350000	39502000	31295000	32028000	33728000	27740000	28521000	32248000
sp|P20081|FKBP_YEAST	318600000	322950000	319300000	330680000	325540000	316580000	311830000	330870000	336620000	352590000	349620000	339390000	345390000	332510000	332940000	295660000	277010000	273390000	335250000	337650000	334080000	330570000	354430000	354570000	338800000	315170000	346340000
sp|P20107|ZRC1_YEAST	4822900	4465700	5363400	4635600	5295500	4933600	4956600	4575300	6593200	6264700	5176700	5550400	5745700	4754500	5183300	4539700	5567400	3993700	6091700	6410000	6673500	6310600	5633400	5178900	4310100	4028700	3824700
sp|P20435|RPAB2_YEAST	4516700	4689300	4697000	5697400	4138900	5920300	4346100	6061100	4779100	0	6043600	0	5810200	5917900	0	5367800	6277900	4014600	6064900	6641300	0	0	4651900	5432300	3563000	3657500	3561300
sp|P20449|DBP5_YEAST	13743000	17891000	16569000	17202000	21138000	18944000	16697000	20492000	15622000	17757000	18430000	16676000	20241000	19567000	19571000	18919000	16807000	14925000	18097000	19192000	15398000	18533000	20245000	17875000	16481000	14502000	15492000
sp|P20459|IF2A_YEAST	74332000	75857000	73157000	71564000	76409000	75635000	73800000	73985000	72400000	80071000	76012000	77097000	81406000	78126000	79242000	58799000	66121000	61877000	77181000	83476000	77021000	81045000	79183000	77564000	68754000	73594000	70072000
sp|P20606|SAR1_YEAST	76780000	72891000	77307000	70858000	75912000	73275000	75092000	73260000	66033000	74761000	81547000	74819000	70465000	72197000	72742000	67239000	63007000	67858000	77358000	73413000	77481000	70308000	72445000	68609000	65100000	76078000	77674000
sp|P20967|ODO1_YEAST	192450000	187980000	199910000	192730000	187480000	203640000	189220000	179820000	194720000	220850000	235060000	212330000	217120000	223540000	201940000	171520000	163280000	171320000	217180000	212710000	209210000	197560000	204570000	208860000	204240000	193830000	206460000
sp|P21242|PSA7_YEAST	19090000	23916000	15603000	29724000	23268000	26115000	23124000	19726000	18562000	24596000	23176000	19783000	23077000	19487000	26471000	18726000	21783000	20059000	24949000	24531000	23766000	21834000	24715000	25219000	20932000	22973000	24366000
sp|P21243|PSA1_YEAST	49502000	46740000	45946000	49169000	47544000	45115000	45281000	53530000	49254000	48443000	50398000	47289000	49354000	47978000	46896000	38865000	43215000	34418000	51929000	49026000	48786000	49839000	48967000	44699000	46307000	39002000	42067000
sp|P21264|PUR6_YEAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3106500	0
sp|P21304|PWP1_YEAST	1484000	1669600	1787100	2280900	2043900	2061500	1745200	1799600	1769800	2508500	1924700	2765100	1913800	1614800	1786600	1518200	2552200	2442900	2085500	2092000	1864900	1775200	2389200	2118500	1942600	3002300	2154100
sp|P21306|ATP5E_YEAST	19084000	14783000	18332000	13698000	12867000	13774000	20170000	16597000	16351000	15519000	17722000	14723000	15581000	16376000	12291000	18197000	16183000	18927000	16847000	15930000	17106000	16257000	13698000	15698000	11463000	11779000	12936000
sp|P21576|VPS1_YEAST	47038000	43672000	48834000	59660000	49342000	47945000	49225000	52857000	59320000	46898000	47358000	53169000	43730000	53542000	46839000	45802000	44635000	46618000	52076000	50770000	52730000	49882000	52877000	51981000	49074000	61992000	49923000
sp|P21734|UBC1_YEAST	4963700	4522300	4794600	7416100	7609800	6213300	6598300	7981500	7193900	8552300	6433800	6424500	4577600	6281500	6366300	5241400	4906400	5109300	5960300	6317000	9117000	6211800	4754700	5611300	5568000	4750800	6126400
sp|P21801|SDHB_YEAST	10198000	8114700	9933600	7672900	7043000	9231400	8398400	9249500	9106700	10987000	9896100	8922200	8887900	8914500	11037000	8447800	9707900	9870300	8017500	8218000	10934000	9763800	9288000	8859000	5776300	7140000	7181500
sp|P21826|MASZ_YEAST;sp|P30952|MASY_YEAST	412300000	417320000	391380000	436820000	425850000	425040000	383840000	346600000	355090000	406170000	423570000	407270000	433470000	431510000	428600000	329380000	322800000	327390000	416420000	416970000	440700000	442470000	442750000	430280000	457110000	471870000	447220000
sp|P21954|IDHP_YEAST	304610000	293930000	292580000	275390000	265110000	289040000	285370000	279720000	279430000	293950000	294840000	291400000	279920000	278350000	274650000	262900000	282260000	288290000	297230000	308330000	288940000	274930000	284190000	290980000	275860000	249910000	273000000
sp|P21965|MCK1_YEAST	30172000	28019000	32328000	40062000	39134000	37761000	29817000	27228000	30021000	35395000	35490000	32846000	39437000	35146000	30117000	29128000	34286000	33419000	31121000	29894000	31256000	34204000	30078000	38439000	39230000	37783000	42756000
sp|P22133|MDHC_YEAST	114280000	110610000	118220000	106530000	110080000	104670000	109520000	120760000	106760000	108770000	116040000	115220000	110110000	110480000	107840000	103230000	106810000	104040000	111940000	118530000	115400000	103710000	114580000	108850000	99815000	96396000	95909000
sp|P22137|CLH_YEAST	234130000	235850000	247940000	223470000	221070000	231610000	234040000	225200000	222310000	230240000	229580000	229840000	233840000	227640000	215620000	208720000	202430000	211920000	240800000	241300000	233030000	228840000	225920000	230750000	207780000	216670000	215160000
sp|P22141|PSB4_YEAST	12411000	12807000	12822000	14856000	11783000	12139000	10411000	12463000	13177000	12804000	11605000	12902000	18983000	14183000	12792000	10516000	11039000	11315000	12728000	11624000	12649000	13325000	12353000	14137000	13524000	13034000	13291000
sp|P22146|GAS1_YEAST	35999000	31548000	35585000	30471000	33485000	28311000	35117000	33460000	40502000	35239000	33317000	38318000	31606000	29372000	29378000	23746000	34460000	38388000	41255000	38078000	39057000	31449000	30739000	33466000	33890000	34583000	32124000
sp|P22147|XRN1_YEAST	0	0	0	0	704460	505140	0	0	0	0	0	0	0	0	0	530960	573580	643920	0	259940	0	564470	395120	340210	412940	461590	647930
sp|P22202|HSP74_YEAST	54590000	52289000	56207000	60172000	58671000	61969000	55048000	53245000	47095000	51986000	51718000	53865000	54960000	61251000	57698000	46726000	53632000	51766000	61925000	63811000	57235000	54773000	56815000	63529000	49915000	65032000	60280000
sp|P22203|VATE_YEAST	118470000	112270000	116460000	105360000	102710000	102590000	107820000	107690000	103300000	124640000	124720000	125340000	113930000	106400000	101190000	95861000	92102000	98047000	109050000	115960000	107740000	100810000	104270000	104560000	88119000	96982000	94403000
